shame,When a friend from whom I preferred to hide my private life discovered that I had relations with a man.
anger,"When they threw my holder down on the floor, with all my notes for an exam inside it and they got all mixed up."
disgust,When I see pornographic films.
fear,"When I was walking down the street, some boys showed me a knife and stole all my money."
guilt,When a friend of mine was beaten for what was my fault.
joy,When I passed the university entrance exam.
sadness,When my mother was operated.
shame,One day I got on the bus without any money or season ticket and the driver threw me out.
anger,An old woman was violently thrown down the stairs of the tube by a group of louts.
disgust,On the road there was a dead animal with its entrails showing and its skull crushed.
fear,I was walking along a subway when I saw a group of louts.  I was rather afraid because I was alone.
guilt,"I could have passed the last exam of the public competition, but I failed as I had not studied."
joy,My father had an operation which lasted for hours.  We were all very worried but it was successful.
sadness,"A child, 9 years old, died in a stupid way.  He fell from a place which was 1 metre high."
shame,We were discussing a subject ( I knew very little about it) and I was holding my ground.  They showed me that I was wrong.
anger,"I learned that a class-mate had given a list, of peolpe who help each other in exams, to the professor."
disgust,I was in the cafeteria at the university and a class-mate told me that a friend of hers had had all her teeth taken out because of an infection caused by her eating a rat's nail in her hamburger.
fear,Before knowing my marks I was not sure that I wanted to go to that class.
guilt,"One night, after having decided to finish our relationship, I took my girlfriend home.  While driving back home, I felt that I had not handled the whole thing very well."
joy,I was studying in the library and a class-mate told me that she had obtained a grant to work in the library.
sadness,"I phoned two friends and was not able to arrange a meeting with either of them, so I had to change my plans."
shame,"I had to meet a girlfriend to go out for a drink and she arrived with her aunt, to whom I was introduced.  Then the aunt left."
anger,A typical family argument.
disgust,The sight of vomit on the street.
fear,"When I am alone at night after having read horror stories, and then I heard unexplainable noises."
guilt,Not to have studied enough when exams were near.
joy,The begining of my relations with my current girlfriend.
sadness,The disqualification of two of my mates in the military service.
shame,When criticizing something about a person and then realizing that the person whom one is talking to is similar.
anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing."
disgust,To loose friends because of them over-estimating themselves.
fear,Continous fear of a nuclear war.
guilt,To force someone to do something that suits me.
joy,When I pass an exam.
sadness,When someone in my family died.
shame,When people next to me play the fool.
anger,"I was living in a flat where things did not go very well for me.  Finally, they threw me out and this prejudiced people I esteem a lot."
disgust,The man who threw me out of the flat disgusted me.
fear,"I was in Sierra Nevada, climbing a peak over 3,000 metres high, without any light and with many other problems.  I was afraid for my life."
guilt,"I was going around with a girl without loving her.  Not only did I go around with her, but we did many more things.  In the end I was not very sincere to her."
joy,"I thought that I was going to fail a subject and so I began to study for the final exam, then my friend told me that I had passed it.  That meant that I could go home, as I do not study in my hometown."
sadness,"When I read the diary of the girl with whom I was living, it was about another boy with whom she had been going around some time back."
shame,"The first time that I caressed a girl, I was about thirteen and she was eighteen.  I noticed that it did not affect her at all."
anger,"I was angry when my sister began to talk nonsense and to laugh at the way I swept the room.  My anger grew (I tried to control myself).  After telling her to leave me alone, I vented my anger on her as she did not obey me."
disgust,I read a book whose plot and expressions were obscene and in very bad taste.
fear,"I was walking in the countryside alone when I came across two dogs who began barking at me.  I did not know whether they were tied up or loose, but I was afraid of them approaching me."
guilt,"It was about midnight and I wanted to go to the countryside (I was in town) to watch the stars in the sky.  My mother did not like this, in spite of it I went out for a while.  My mother got angry."
joy,I met a girlfriend again after not seeing her for several months.  I saw her in a discotheque.  We do not like discotheques but we went there because we knew we would meet there.
sadness,My mother was working with a knife and we were all laughing heartily.  She was not able to control the knife and stuck it deep into her hand.
shame,"My mother had just been teaching me how to crochet, which is thought highly improper for a boy in a town.  Just when we finished, a neighbour walked in."
anger,"When I miss the train and I am late, and I have to wait half an hour for the next one."
disgust,I saw in an ice-cream kiosque a cockroach walking through a cornet.
fear,One day I went to the cinema to see a film in which I was interested.  On arriving there I saw a long queue (which I had not expected) and went back home without seeing the film.
guilt,Once I had some homework to do and I did not do it.
joy,A friend of mine suggested that I become a film extra.  The idea seemed very funny to me and my reaction seemed rather outlandish to the others.
sadness,When I knew I had to go out with my mother on some errands.
shame,"One day in class, the professor asked me a question concerning something he had been explaining.  He was very close to me (beside me) and I had no idea what to answer."
anger,"In a very important basket-ball match where a lot was at stake, I played very badly."
disgust,A TV program on whale-hunting.
fear,When I was operated on the knee and had to go through rehabilitation.
guilt,Family discord and uneasiness due to something I did not communicate on time.
joy,"When they phoned me from Great-Britain to tell me that I could go there, if I wished, in Summer."
sadness,When a friend of mine told me that he was going to commit suicide.
shame,Once when I said bad things concerning a friend.
anger,I was given an exam which I thought did not measure at all my ability or my knowledge of the subject.
disgust,Some friends and I were having lunch.  Someone said something funny and one of the guys started laughing and spat his food in a girl's face.
fear,When my mother was robbed in a shop.
guilt,"As I was not paying attention, my little brother fell off the table."
joy,"When I passed my driving test, as it was the fifth time that I had taken this test."
sadness,"When I saw the film ""Johnny got his gun"" which deals with the consequences of the Vietnam war."
shame,"I was alone in the bus when I tripped and fell, and dropped all my papers."
anger,When my brother was held up and robbed.
disgust,When I see someone vomitting.
fear,"One night, while I was sleeping, I woke up suddenly with the sensation that there was someone in my room."
guilt,"I had to undergo an operation in Summer and so my family had to stay at home during the holidays.  I felt guilty, above all because of my brothers."
joy,When I passed the university entrance exam.
sadness,When they told me that my grandfather was rather ill.
shame,When I fell head on in a fountain.
anger,A person I trusted a lot gave me many false explanations to justify a wrong action.
disgust,"During lunch with some classmates, a priest was also there.  He was eating desperately as if someone was going to take his plate away.  He did it with gluttony.  He wiped his hands on his suit several times and it was full of crumbs."
fear,"I had decided to propose to the man I liked to make a trip together.  One day, during breakfast I told him my idea.  I was afraid of his not accepting it and that the idea would end up as a failure."
guilt,"One day, I was alone on duty when a patient choked while eating.  I ran to her and tried to make her breath, but it was too late."
joy,I came across a friend with whom I had lost touch for a long time.
sadness,I was having breakfast with a classmate and suddenly I began to cry as I thought of a friend of mine whom I had not seen for a long time.
shame,When a professor caught me absent-minded and not paying attention to what he was saying.
anger,"When, after drinking a glass of water, I found a cockroach walking out of the glass."
disgust,They asked me to throw the rubbish into a dustbin which had some awful liquid accumulated at the bottom.
fear,Once I failed seven subjects at school and I was terrified to give my report card to my father.  I left it on the table and went to bed very early in order to avoid him seeing me.
guilt,"I was driving a friend's car, and I got close to the pavement to ask my way and I struck a parked car."
joy,"At a party, on New Year's Eve, I met on old friend whom I had not seen for some time"
sadness,"I have a very close friend who lives in another city and we have been writing to each other for a long time.  The last time I went to her city, just to see her, I was disappointed to see how great the distance between us was."
shame,The girl with whom I was going around had been forbidden to be alone with me in the house.  We paid no attention to this prohibition but one day her parents appeared and I jumped out of the window.  They saw me.
anger,"We were at school, in the room for audiovisual classes.  We were watching a film, and just behind me two classmates were bothering me with their mocking and shoves.  I reacted angrily (I suppose)  by hitting one of them."
disgust,Once I had to clean a lavatory which was obstructed.  It was in a friend's country house and there was nobody there to help me.
fear,"I stayed alone in the dark at night in the mountain, waiting for my uncle.  I remember that I took a big stone and it calmed me."
guilt,"When I lost my study grant without having attended any exam in the career I had started, and it was too late to cancel my registration."
joy,"Every time, in the last few days, when my girlfriend told me that she loves me."
shame,"In a Mathematics class, the professor asked me a question and I gave the wrong answer."
anger,During my last exam.
disgust,One day I went to see a rather disagreeable film (X).
fear,When my mother had a nervous illness.
guilt,"Once, I accidentally injured a boy in the eye and he almost lost it."
joy,A party I went to last Christmas.
sadness,When I had to come back from my village last Christmas.
shame,Once I had to visit a rather special person.
anger,"On the occasion of assignment of tasks and responsibilities in which such an assignment, dispropotionately carried with it high responsibility and low ability of organisation and resolution."
disgust,"When I had to sleep in a bed at a hostel, which was full of dirt."
fear,"A fall during a climb, with almost with no previous experience."
guilt,"Incomprehension and repression towards a child's behaviour, commonly not accepted, and making the child cry."
joy,When I knew the feelings of a beloved person.
sadness,"Moving to an unknown place, away from the familiar surroundings and into a situation of loneliness."
shame,"While shopping, a person close to us created an uncomfortable situation for those who were with her."
anger,"One day, when I was a child, my grandmother shut me up in a room."
disgust,"One day I was in the countryside with several friends, and we began to eat figs, after we were all full we noticed that all the figs were full of worms."
fear,"When I was a child, one day, I was going home late at night and I did not notice an uncovered man hole and fell in it.  I was in there for several minutes."
guilt,I ran over my dog with a bicycle when I was carrying him tied to the handle bar.
joy,The day I finished my military service.
sadness,The day I left my first girlfriend.
shame,"When I got my fingers stuck in one of the side holes of the door, in the tube."
anger,An argument among friends in which my opinions on the way to spend spare time were disapproved.
disgust,I saw the gare of a prison.  This gare and the building were in deplorable condition and were full of rubbish.
fear,I found myself involved in a fight in which a person died and I had to intervene with some risk.
guilt,"I thought that I could have avoided the above situation (the one in fear) if I had concentrated more on my work, which I hate."
joy,When I won the first prize in a cross country race.
sadness,I was forced to leave an unforgettable friend.
shame,A mishap suffered on misinterpreting a girl's proposition.
anger,When the Real Madrid football team lost against the inter in the U.E.F.A cup.
disgust,"On a trip to Santander a child sitting beside me fell ill and started to vomit, seeing this made me feel very bad."
fear,Before I had a tooth pulled out.  I was very upset and ill.
guilt,"When I finished a test type of exam and did not dare to answer any question, I doubted whether I would pass the exam  or not."
joy,"When I passed the last exam, which I had doudts about."
sadness,When my dog died.  I had reared it for nearly three years.  It had been ill for several days and had not eaten anything.  One morning I found it dead.
shame,I fell down in the bus when it braked suddenly and everybody started looking at me.
anger,"When they broke the artistic work of several weeks.  Changes were made and it was broken without permission, they had no right to do this."
disgust,"A situation of overt unfairness, manipulation of people and its consequences."
fear,In a dark street at 4 o'clock in the night and there was complete silence.
guilt,When a close classmate failed a year.
joy,"When I was back home after a long time, meeting beloved people and close friends."
sadness,"When the train taking me to my military service left the station, on the platform remained relatives, projects and goodtimes.  I had a hard year ahead."
shame,"A children's film in which I played a clown, with spotlights, cameras and the director who demanded jumps and guffaws."
anger,"In a confrontation with a person, he provoked me several times till I reacted in an angry way.  Fortunately there were no disastrous consequences."
disgust,When I was reading a book.  It had nothing to do with the book itself but with the disagreable smell of the pages of the book.
fear,"When I was young I saw a horror film.  Then when I went to sleep, the film came back too my mind and the characters frighteneed my imagination."
guilt,In an exam I answered the questions rather carelessly and afterwards I thought that the exam would have been better had I answered more carefully.
joy,I was talking to a friend and he said something which was very funny.
sadness,I was watching a sad film and it affected me deeply.
shame,In class I had to say something aloud and people reacted  by laughing.
anger,When I had an argument with my best friend and I thought that I was right and she was not.
disgust,"The first time I saw a pornographic film, all that in practice is so beautiful but on the screen appered as something mechanical, irrational, disgusting and dehumanizing."
fear,It was more that fear - anguish -that I felt before my last exam.
guilt,When I do or say something inappropriate which hurts people close to me.
joy,"When I knew that there were, at last, no problems in making a journey that I had been wanting to make for a long time."
sadness,When I realized that it was impossible for me to be as free as I had imagined and that I could not do anythong about it.
shame,When I stated sharply something I was not very sure of and a few days later I was shown to be wrong.
anger,"When I knew that they would not give me a transfer from one university to another.  I began to insult the educatioon authorities and the government, I ended up at the door."
disgust,"My dog had been run over and died near the house.  We had to pick him up, cold and glassy eyed, to get rid of the corpse."
fear,I was walking down a road and suddenly a few dogs appeared at a fence and started barking angrily.  They were jumping and it seemed that they would come for me any time.
guilt,In an exam when I answered the questions with very little assurance due to insufficiet preparation.
joy,"When a study tour got confirmed, I was happy all the time till    the tour began."
sadness,We went to visit my mother at the residence.  She was crying and said that she was about to die.  I believed all her complaints and continously thought of the possibility of loosing her.
shame,A professor was going to read aloud in class a composition of mine in which I had criticized some political attitudes and also some class-mates.   I was ashamed at having written that.
anger,My father began to say incoherant things concerning my brother's and my own behaviour towards him.  His biased (authoritarian) and ridiculous point of view made us angry.
disgust,I was at the table at a French friend's house.  They served me a big dish with roast cauliflower and sauce.  I had to eat it.
fear,"I was at the cinema with my sister and her boyfriend.  A man sitting beside me started to stroke my leg for a while, he left in the middle of the film."
guilt,"I was alone at home when I broke a figure and then mended it.  A few days later my mother noticed it and asked me about it, I told her that I had no idea."
joy,"When I received my report card in C.O.U.  I was afraid of obtaining low marks, but they were much higher than expected."
sadness,I had failed some subjects in mathematics.
shame,This morning I spent a lot of time on my toilet and missed the train to the university.  My mother told me that I spent more time than a woman on my toilet.  I felt a mixed emotion of shame and anger.
anger,When I was the target of a great many insults and completely unfair accusations of a large group of people.
disgust,When I entered a brothel and saw two sailors with a young prostitute who was not older than 18.
fear,"When I was caught by the police and was kept with a group of delinquents, which added to my fear of being shut up.  I was afraid of the people near me and the future consequences."
guilt,"Having suffered a not very pretty sight, I reacted by uttering some very cruel and sharp words."
joy,When I fell crazily in love with a beautiful girl and she returned my love.
sadness,"When my best friend died, at the age of 16."
shame,When I was in a religious school my teacher showed me up in front of all my class-mates.  They were very sarcastic and cruel.
anger,When I was accused of something I had not done.
disgust,I saw some images of a decapitation in a horror film.
fear,I had an accident in which I hurt my eye.  I was afraid of having injured it badly.
guilt,I made another person cry for an unjustified cause.
joy,When I came across an old friend whom I had not seen for a very long time.
sadness,A close friend died.
shame,I slipped and fell in to a puddle and people started looking at me.
anger,"A certain person started to say dreadful things very calmly, I felt hurt and disgusted."
disgust,In a bus I fell sick and vomitted in a bag.  The entire situation was disgusting in itself.
fear,"I was walking with another person when a ""gang"" separted us and pushed me in to a house, hit me in the stomach and the face, then they left - leaving me bleeding."
guilt,I rejected a person whom I had always thought to be a friend.  I told him so and he reacted angrily.  I felt guilty at not having realized it before and at having hurt him.
joy,I received an unexpected letter from a friend I had met a short time before.  He sent me a poem and wished me good luck.  I felt very happy because I had great esteem for that person.
sadness,A certain person whom I respect and esteem a lot pays me no attention.  She keeps up appearances but shows almost no interest in me.
shame,"A person (a male) told me that he liked me.  He has a problem, he is a homosexual."
anger,My parents were having a typical family argument.  I came in and saw the scene and became angry.
disgust,I visited a place in Morocco where they worked the leather.  I saw the skins emerged in a liquid which ressembled putrification.
fear,When my relatives and I were in a car going slowly on a frozen road.
guilt,"I was in a cafe with another person when, suddenly, several close friends of my partner appeared.  I did not know what to do and my partner felt uncomfortable."
joy,When I received some good news : I obtained an amount of money I needed to buy something I had been planning to buy.
sadness,"I was going away, leaving a dear person behind."
shame,At a friend's party there were several allusions to my sexual adventures.
anger,When people harrass me I feel oppressed by their behavior.
disgust,When I saw a film in which the man suffered from an illness and    his skin came peeling off.
fear,When I am walking on the streets and see a gang of thugs.
joy,When I talk to my friends.
sadness,When I am with a friend and we have to leave each other.
shame,When I was in the toilet and someone came in.
anger,When I learned that several people had died in the street due to  the cold weather.
disgust,The physical appearance of a meal.
fear,On a dark night I felt that there were several people near me and I did not know who they were.
guilt,"In a situation with my girlfriend I took a decision.  Later when I thought about it, I realized that it was an erroneous decision."
sadness,"When I saw in the newspapers, on the T.V, and magazines the chaotic situation caused by the drought and hunger in Mauritania."
shame,"I was with a group of people and everybody told me to do or say something.  It was a confusing, strong and traumatic situation for me."
anger,"When I saw parents punishing their little child for something he had not done.  In my opinion, even if he had done it he should not have been punished for it."
disgust,"When I was young, one day in the car we fell sick and ended up vomitting on each other."
fear,"During a demonstration I climbed up the closed central door of a bus.  When the bus stopped I had to go back to the same place, afraid that the police would see me."
guilt,A friend of mine felt bad because of something I had done to something that belonged to him.
joy,"One night, at a friend's place I realized that I had everything I most wished, around me."
sadness,A friend of mine was hurt as he thought that our relationship was not the same as before and something had gone wrong.
shame,The parents of a friend of mine surprised us and another couple sleeping in thier place.
disgust,I saw a program on T.V where they had to saw a skull for an        operation.
fear,Almost always when I go to fetch the results of an exam.
guilt,"When I used an adjective for a person without knowing what it meant.   When I got to know the meaning, I felt guilty as it was a clear and unfair insult."
joy,When they told me that I had been admitted to the faculty of medicine.
sadness,When I decided not to out any longer with a girl whom I liked quite a lot.  This made me feel low for a some time.
shame,"I was watching T.V with my parents and some pornographic scenes came on, I felt uncomfortable and tried to distract my parents attention by talking to them."
anger,I was with my family and we found some abandoned puppies.  I wanted to help them but everyone said no.  We then left.
disgust,Seeing a film in which there were several bloody crimes.
fear,When a friend of mine told me a horror story.
guilt,"I had an argument with a friend of mine.  She would not let me speak and then I began to shout at her.  She got angry and left, I did not try to prevent her from leaving."
joy,When I obtained good marks in a subject I had failed before.
sadness,At my grandfather's death.
shame,"At a concert an old man arrived and began to danse, sing and do silly things."
anger,I had applied for a job and they had assured me that the exams would take place a few months later.  A week later I went to obtain some more information and they told me that the exams had already taken place.
disgust,"I found a big, black spider near a bag of food."
fear,We were on the road in a car when a lorry bypassed us.  We had to swerve and we almost got run over.
guilt,"I had arranged to meet my friends at a certain place, and I was with other people.  My friends did not arrive and the people who were with me began to get tired.  My friends were one hour late."
joy,When I was told that they had got tickets for me for a film marathon I wanted to see.
sadness,"I received a letter from some friends, who do not live in Madrid, telling me that they would not come on holiday.  I had arranged everythiing for them."
shame,I was in a very small class and the professor said something about me that made everyone look at me at the same time.
anger,"My sister came back home and reproached me for not having tidied up the house, although I had been working all morning and she had done nothing."
disgust,I had to wash my grandmother because she did not get to the bathroom on time.
fear,"I thought that I would be scolded for a comment I had made, which I should not have made."
guilt,"When I was very young, one day, I kicked my grandmother and caused her an injury which took a long time to heal."
joy,The man I am going around with gave me a very special present.
sadness,"At my grandfather's funeral.  I remembered that the thing he liked and respected most was earth, I thought that he had attained what he wanted and was not separated from it any longer."
shame,In a very crowded shop I was distracted and missed my turn in the queue.  A woman who was behind me began to shout at me asking me either to pay more attention or to leave.
anger,"When I saw a car run over a child, out of carelessness."
disgust,When I was walking in a field which had a lot of manure.
fear,I was in my village when a bull jumped over a fence and started chasing my friends and me.  We were very frightened till we climbed up a tree.
guilt,I am not very affectionate and I feel guilty as I do not give as much affection as I receive.
joy,"When I saw a friend of mine, whom I had not seen for a long time and I had lost his address and telephone number."
sadness,I failed a subject despite the fact that I had studied quite a lot for it.
shame,I liked a boy and I would feel shy and then blush.  The more I wanted to avoid it the more I blushed.
anger,My parents did not let me go on holidays with my friends.
disgust,Finding a hair in the soup.
fear,"I was walking down a little village at night.  There was nobody in the steet.  A dog began to bark, I felt that it was following me.  Then I began to run, the other dogs started barking too.  At last I arrived home."
guilt,"I had promised to say goodbye to a person who was going on a trip, and I did not turn up."
joy,"I was spending the week-end with some friends.  We were waiting for another friend and we went to the meet him at the bus stop, a  woman we met there told us that the coach had already left.  I was afraid that I would not see my friend, but at last we found him."
sadness,I was told that a friend of mine was going to Mexico for good.
shame,"I was at the University dining room, alone, and at a table next to mine thre were several professors.  One of them asked me to join them.  I refused but she insisted.  All the others started looking at me and I had to move to their table."
anger,I sent a book to a friend of mine.  The book meant a lot to me and he lost it.
disgust,"Ever since I have been a child, the sight of any kind of wound."
fear,"We were camping in the mountains, and a friend and I went for a walk.  It was getting darker and darker and we were not sure of the right way back."
guilt,"One night, I went out with some friends for dinner and I did not tell my parents that I would come back late.  I thought of phoning but in the end I did not.  When I arrived home, my parents were very worried."
joy,"I was on holidays, and I was going to meet a friend whom I had not seen for six months.  Again I felt very happy."
sadness,To say goodbye to dear friends after the holidays.
shame,"At the seaside, when a wave suddenly came and took off my bikini."
anger,"I gave some personal information to a friend of mine, and he told it to some others who were implicated in the affair."
disgust,There was a cat on the street.  It had been run over and its head was open.  We passed beside it.
fear,Waiting for my marks in a difficult subject.
guilt,I had a small argument with a relative and some other people got implicated.  It resulted in a proper row.
joy,"My sister in law was about to have a child, and there were some problems.  They had to do a Caesarean.  After a while, everything  was all right."
sadness,"The holidays come to an end, and the next day we had to go back to University and to the exams."
shame,"At a meeting with over one hundred people, they decided who had to speak from the stand by drawing lots."
anger,"My mother told me that I could not go to the mountains.  Despite my age, as long as I am in her house I must do what she says."
disgust,I was drinking coffee in a cafe and I found a piece of scrubber in my cup.
fear,I was attacked by a man at a bus stop at night.
guilt,"At school, I did not tell the teacher that it was me who had laughed, and she punished the entire class by making them stay behind for one hour."
joy,"Last course, when I passed with good marks three subjects which I had previously failed."
sadness,When my nephew was taken to hospital with meningitis and we did not know what would happen.
shame,"When I went to my boyfriend's house for lunch and saw his parents, I felt that they were watching me all the time."
disgust,"In a film there was a scene in which a rat was sliding on a bed, leaving a trace of blood behind, finally it entered the mouth of one of the actors."
fear,"We were walking in the park at night.  It was very dark and very late.  We began to hear foot steps all around us, and we could not find our way out."
guilt,"At a party, several comments were made about the personal situation of one of the people present.  She was rather affected and uncomfortable."
joy,"One evening, I was with a group of friends having a talk.  There was a very trustful and joyful atmosphere."
sadness,I was selected to do a rest for a foreign ballet but I did not have the money to do it.
shame,I was swimming in the river and I lost the top of my bikini.  I did not notice it and came out of water.  There was a disagreeable classmate watching the scene.
anger,When I got to know about the reaction of a friend of mine in a certain situation.  I had not expected him to react that way.
disgust,I saw a sort of black worm being attacked by many ants.
fear,"One night, I was alone at home.  My fear was caused by some strange noises which put my imagination to work."
guilt,When I noticed the negative changes in a friend's behaviour.
joy,"It was Saturday, my duties were over for a few hours and I could at last be with the people I wanted to see."
sadness,I felt alone among a large number of people.  I was sad to see that nobody cared about what was happening to me.
shame,When I met a friend of mine after several months.
anger,My mother read a letter that a friend of mine had written to me telling me how she had got drunk the last time.
disgust,"I found a cockroach crushed between two folders in my bedroom, I called my mother."
fear,"I was watching a procession during the Holy week, and a penitent approached me."
guilt,"I was spending a few days at my aunt's place.  One night I got home very late, I had told them I was going to a party but I went to another place.  They were very worried."
joy,"I was going to my village, after having been rather oppressed in Madrid."
shame,I ride my motorbike in my village and everyone stares at me as if I was a rare specimen.
anger,My parents scolded me a lot for something I had not done.  It was my sister who had done it.
disgust,At the hypocrisy of some of my friends.
fear,I was in a camp and went out for a walk at night on my own.  I lost  my way and spent several hours looking for the camp.
guilt,"Due to a misunderstanding on my part, two of my best friends quarelled."
joy,Last Summer I achieved someting that I had been wanting for a long time.
shame,I greeted and embraced the wrong person thinking that it was my friend.
anger,When an English teacher unfairly made me repeat a semester which I thought I had passed.  I had to ask my parents for some more money to carry on studying.
disgust,"In a park near our home, a group of young people who were strangely dressed were seated in the middle of the street.  They began to eat while carressing each other."
fear,When we got lost in Florence and the coach did not turn up until midnight.  I had no place to go to and there were strange reports at the police station.
guilt,A friend of mine said in a group that she felt lonely and withdrawn from everyone because of mental deficiency.
joy,"When my brother was born, everything went all right.  It had been very likely that he would have a deficiency (my sister suffers from Down's Syndrome) and that my mother would be in danger."
sadness,"The person whom I liked most left me for a friend of mine, after several months of mutual help and a profound knowledge of each other."
shame,"I feel this emotion very often when I try to express my feelings in public, because other people do not understand my reactions and think that I am silly."
anger,"When my father made my mother go through really terrible situations, I felt furious, impotent, nervous, upset, ........"
disgust,"When I came to know that my father and his parents were : self interested, dirty, negative, egoist, bad peolpe,......"
fear,"When I was at home alone, I felt a super-natural force, dangerous for me and the people close to me."
guilt,When I was young I felt guilty because I thought that I had commited a grave sin.
joy,When I passed the university entrance exam.  I had thus finished with a difficult period of my life and I was about to begin one which I had desired a lot.
sadness,"When a person whom I loved and admired a lot died.  I felt empty, lonely, helpless, without support, not knowing what to do."
shame,I think that the only time I really felt shame was when I was very young and I had to defecate on the street.  I was very worried in case someone should see me.
