Emotion,Text
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted."
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident."
guilt,When one has neglected or been unjust to a good friend.
joy,When I pass an examination which I did not think I did well.
sadness,When one's studies seem hopelessly difficult and uninteresting.
shame,"When one has been unjust, stupid towards someone else."
anger,Friends who torture animals.
disgust,Friends who torture animals.
fear,When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.
joy,Passing an exam I did not expect to pass.
anger,When my partner was attacked and lost three teeth.
disgust,When I nearly walked on a blindworm and then saw it crawl away.
fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing."
joy,When I had my children.
sadness,When I see children on T.V from areas devastated by drought and war.
shame,When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.
anger,"Unjust accusations directed at me and my way of acting, by someone close to me."
disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness."
fear,"It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head."
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am."
joy,When my child was born.
sadness,Failing an examination.
shame,"When, as an adult I have been caught lying or behaving badly."
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way."
disgust,When one learns through the mass media all the wars and killing going on in the world.
fear,"When, as a child, I was nearly knocked down by a car."
guilt,When one lets friends down
joy,When I saw a person I had not seen for a long time.
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else."
shame,"I lied, to be precise I cancelled a meeting with a good friend."
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own."
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.
fear,"A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened."
guilt,At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.
joy,When I was accepted for a course on finance and accounting.
sadness,When I was not accepted as a student in finance and accounting.
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.
anger,When I spoke to Jan-Erik Wikstr�m on the telephone.
disgust,I saw a cripple in rags with small children in Italy.  He was probably an imposter.
fear,"In a cottage in a large forest, I was alone for a while in the dark."
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.
joy,Passed an exam by 2 points.
sadness,Railway station good-bye.
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along.  He understood  that he would not have fitted in and there was something in that.
anger,I locked myself out.
disgust,I found some worms in the food and I had obviously eaten some.
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard."
guilt,I hapened to overhear something which I was not meant to hear.
joy,I passed an exam that I was absolutely certain that I had failed.
sadness,I missed the last tram home and had to walk in the pouring rain.
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents."
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me."
disgust,When an alcoholic stood dribbling over a food counter.
fear,When I am out in the dark and a suspicious looking character comes towards me.
guilt,When I complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that I liked her.
joy,When I won a trip to Greece in a competition.
sadness,When I had not understood anything after a lecture.
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening.
anger,Mad at my dad.
disgust,A bad smelling cucumber.
fear,On the way home one Friday night in the heavy rain the car acquaplanned.  I lost contact with the road surface for a few seconds.
guilt,I do not help out enough at home.
joy,At a friend's birthday party with some of my closest friends.  It was all very pleasant and one could say that I was happy to have such good friends.
sadness,A case of unrequited love.
shame,Nearly caught masturbating.
anger,When someone stole my bike.
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000.  An illustration showed a frog between two pieces of bread.
fear,When I flew from Athens to Copenhagen after a holiday.  The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.
guilt,"When I was young - 14, I pinched from a store and was caught.  The store then contacted my parents."
joy,I felt very happy when I won the football pools.
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it!"""
shame,When I dropped a bottle in the state liquor store and everyboby started laughing.
anger,When friends try to put me down or hurt me.
disgust,When someone makes advances that one does not want.
fear,"When I could not find my 2 year old daughter.  I ran and looked for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)"
guilt,When I spanked a child in anger and later regretted it terribly.
joy,When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.
sadness,Marriage crises.  Boredom.
shame,The discovery that one has only thought of oneself.
anger,When my boyfriend went away for a month long holiday without me.
disgust,When a dog is left whining outside a shop.
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.
guilt,When I realized that I had three more examinations to take.
joy,When I passed the first examination that I had to repeat.
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.
shame,When I promised to help a friend over a weekend and did not keep the promise.
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking.  My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used ."
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol.  They terrified him with the thought of arrest by driving close behind him on a pedestrian street.  My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money.  I was scared and was saved only by the appearance of other people."
guilt,"When I am dishonest to a friend to whom I am very close.  I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong."
joy,The day I was told that I had been accepted as a student of economics.
sadness,At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier."
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me.
disgust,"At a Sm�rgasbord table, a man mixed differnet kinds of picked herrings with fruit salad."
fear,When my father was ill and was waiting for the results of his tests.
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy.  This meant that he had to work hard and was not very well later."
joy,When I found out that I had passed the last two exams by a margin of three marks.
sadness,When I failed an exam.
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor."
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had."
disgust,When I was weeding the garden I found a lizard in my hand.
fear,When I found out that my father had lung cancer and they did not know how long he would live.
guilt,I got angry at my mother for something trivial.  We were in a bad mood because my father was very ill and I knew that my mother really needed support.  I had reacted wrongly.
joy,When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.
sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated.
shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier."
anger,The editor changed the heading of an article that I had written.  He considered the heading to be derogatory towards the person I had written about.
disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers.  The car was so badly damaged that they couldn't get the bodies out at the scene of the accident."
fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue.  I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go.  The situation ended happily since there were no consequences."
guilt,"Due to laziness, I failed the term studies completely at University.  I also wanted, to some extent, to protest against my parents' expectations."
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the steps outside her parents home and I kissed her for the first time."
sadness,"A close acquaintance of the family died of lung cancer.  Although it was expected, I still felt depressed."
shame,One night I had a sexual intercourse with another man.  My sexual desire and my curiosity had made me jump into bed with him.  I am ashamed of myself now.
anger,On the T.V I saw a news feature on South Africa.  A policeman      attacked a group of black people with a whip.
disgust,Grovelling people.
fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night.
guilt,I experience feelings of guilt because I do not study enough.
joy,When I got the loan for my studies.
sadness,The thought of having to read a boring book of 400 pages in English.
shame,My inability to assert myself positively in a group.
anger,When I missed the tram after having run for it.
disgust,If a guy one is not interested in makes advances.
fear,"When I was travelling by tram, I tripped and fell against the door.  I thought that I was going to fall out."
guilt,I do not study enough as I do not understand it properly.
joy,When I passed an exam.
sadness,The inability to read a book at college.
shame,I drink wine too often.
anger,"When I am accused of something I have not done, I get unbelievably angry."
disgust,Someone vomited on the street.
fear,I had been watching a triller a dark night in the country and I had to go the outside toilet on my own.
guilt,I had lunch with my ex-boyfriend and did not mention it to my fiancee.  I felt guilty despite the fact that I felt nothing for my ex-boyfriend.
joy,I worked at a lawyer's office during Summer and I got a very good reference from him.
sadness,"When I began to read a thick book, which I had a limited time to read.  Also when I have a lot of work to do and I cannot keep up."
shame,"I can not think of any incident when I have felt very ashamed.  There are small incidents that I am ashamed of, for instance, not sending money to the children in Ethiopia."
anger,Someone drove into my car and then denied that it had happened.
disgust,When I saw a dog which had been knocked down by a car.
fear,Someone attacked me with a knife.
guilt,When I was fined for speeding.
joy,When I was finally qualified for my profession.
sadness,When I was told that my friend's wife had cancer.
shame,When I boxed my child's ears.
anger,Quarrel in the family.
disgust,When I was on holiday someone vomited in front of me.
fear,"I was going home by car late one night when it was cold, dark and windy.  I became rather panicky on the way to my house."
guilt,When I feigned sick leave from work.
joy,I stopped working (had a boring job).
sadness,When I am alone in a room with no contact with anyone - loneliness drains me.
shame,Emptied a bucket of water in a hospital.
anger,My car had been towed away by the traffic police because it had been wrongly parked.  However the sign had been put up only after I had already parked.
disgust,I was forced to stay in the canteen and eat the food that I had not asked for but got it anyway.
fear,I was driving very fast on a small road and I met an oncoming car in a right handed bend.  The other driver was on his own side of the road and I had to skid out of it to avoid a collision.  It was dark.
guilt,By mistake I took a book from the library which was not supposed to be loaned out.
joy,When I get a hug from someone I love.
sadness,After an operation I had to stay in bed for a long time.
shame,When I did not buy what I had promised to.
anger,A colleague asked me for some advice and as he did not have enough confidence in me he asked a third person.
disgust,"In a warm bus full of people, someone vomited and the whole bus stank."
fear,My 2 year old daughter disappeared in a moment of inattention; I was responsible for her.
guilt,I spoke to my mother on the phone.  She had skin cancer and was waiting to be operated.  I forgot to ask her the date of the operation and just before finishing our conversation she gave me the date in passing.
joy,When I won an unexpected sum of money.
sadness,"I wanted to be pregnant and did not succeed, so I was depressed    at every menstruation."
shame,"I complained about a colleague's behaviour as she goes back on her word, is often absent and is irresponsible.  I found out that she was an alcoholic and was trying to fight againt her addiction."
anger,When close relatives tried to dissuade me from studying Psychology because of its low status.
disgust,When I read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious.
fear,"When I was cycling through the park late one night, two people jumped out of the woods and tried to stop me.  There were shouting something at the same time."
guilt,I was unfaithful to my partner once when he was working abroad for a long period.
joy,When I was at a party I met an old friend from an adult education course.  We had not met for 2 years but had both thought a lot about each other.  A wonderful experience.
sadness,I had a long discussion on politics with an acquaintance.  He was more knowledgeable than me and I failed to explain my point of view and was misunderstood so I felt depressed and left.
shame,My mother revealed personal details about me and the negative aspects of my character to other people when I was present but unable to defend myself.
anger,My employer took too many aspirins for a bad back and also drank an enormous amount of spirit.  This was dangerous  and he did not understand that he had done anything wrong.
disgust,When I slept with a guy because my best friend wanted me to.  He had never had intercourse with anyone and had a terrible complex about it.
fear,When I saw a large spider crawling up the wall.
guilt,"When I broke off with my boyfriend after three years.  It was quite unexpected for him and there was no particular reason for the break up, such as someone else."
joy,When I recently got an appartment in central Gottenburg.
sadness,"When I left New York, and all my family and my friends behind me."
shame,When I dated a close girlfriend's boyfriend a few times. He told me that it was over between them and I accepted it.  When she found out she finished our friendship.
anger,The sports fishermen who catch gulls instead of fish with their hooks.   It is often a mistake but it makes me angry.
disgust,"When a member of the family complains about the food that is served, it disgusts me."
fear,When one meets new people with whom one is forced to collaborate with.
guilt,I have chosen to put my son in a private school were the examination marks are low.  Every time that he gives me his term results I am left with a sense of guilt.
joy,When my son returned from mountaineering - healthy in body and soul.
sadness,I feel sad about an event I can not influence.
anger,When I found out that the guy I was dating at a particular time had a steady relationship going on with someone else for a long time.
disgust,"When I was working as a nurse in a mental hospital, a patient ate up the contents of another patient's spitoon."
fear,When I was in a little fishing boat and we ran into hard weather in the open sea.
guilt,I arrived an hour late for an important meeting ( I had misunderstood the time).
joy,When I was informed that I had been accepted as a student of Psychology.
sadness,I felt sad and depressed when I heard that our cat had died.
shame,"At primary school, when I vomited in front of others in the middle  of a lesson."
anger,"When, after a week at school, a teacher sent a note home saying that my son was inattentive and unable to do his lessons."
disgust,"At a certain person's lack of cleanliness, at home and personally."
fear,When my son has a pain in his leg (for no apparent reason).
guilt,When I lost something that was valuable to my sister.
joy,When I was acceptted as a student of psychology.
sadness,When I thought that it was going to be impossible for me to start studying (due to wrong information from the student advisor).
shame,"When I made the same mistake that I had accused someone else of, and this was obvious to a third pereson."
anger,When I was pointed out as a problem child in primary school and my mother took the teacher's point of view.
disgust,"My parents attitude towards each other when they should become reconciled, despite my father's long-time addiction."
fear,When I nearly drowned in icy water wearing ice skates.  It was difficult to get out.
guilt,I stole a coconut cake from a reception table and when I put in my mouth I realized that the host was watching me.
joy,When my son was born.
sadness,When I was accused of neglecting work for the wrong reasons.
shame,When I was caught stealing money from my father.
anger,When my parents drove me to a nearby place and went home immediately instead of waiting a few hours.  They could have easily waited.
disgust,When I was about to clean the draining board and saw it looked underneath the sink (I live in a students hostel).
fear,When I was reprimanded by the manager of the hotel where I worked during Autumn 1984.
guilt,"As the only person in my family into academics, I ought to have looked after my younger (and only) sister better, with respect to her education and life experiences."
joy,"When after 10 months of national service I was ""downgraded"" and did not have to do the remaining 5 months."
sadness,When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.
shame,When my mother caught me masturbating.
anger,"When we were in high school a few guys sometimes provoked a friend of mine.  They called her a pig and then grunted.  This irritated most of the girls.  Once, one of the girls got angry at my friend and said something nasty and this made me terribly angry."
disgust,A mother who shouts at her child for nothing.
fear,Slept in a chapel and in the middle of the night I realized that there was someeone else in the chapel.  I never discovered who it was and why he was there.
guilt,"As I could not be home before midnight I called home at 11.30 and asked them to leave the door open so that I could get in.  I actually woke up the whole family by calling them so late.  My mother could not go back to sleep, besides she had a conference   the next day and really needed to sleep."
joy,When my older sister told us that she was thinking of joining the rest of the family for the winter sports holiday.
sadness,I talked to my boyfriend on the phone when I was in high spirits and had a lot to tell him.  I had been looking forward to this conversation and he did not listen to me to the extent that I had anticipated.
shame,"When I complained to my mother about how untidy the kitchen loooked, she boxed my ears ( this had never happened before)."
anger,When my boyfriend sat up half the night playing computer games with a friend.
disgust,When I saw a big spider from very close.
fear,When I was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic.
guilt,When one of my parents insinuates something about the other (they are divorced).
joy,When I got through the first day here at the department.
sadness,When I had to leave my mother and my sister after a week's visit.
shame,When I asked a friend to return the money that I had loaned her and then remembered that she had repayed me in several ways.
anger,When my mother interfered in my life.
disgust,The first time that I saw a surgeon cut off a leg and put it in a black rubbish bag.
fear,On the way down a ski slope which was difficult and steep.
guilt,When I demand too much from my friends.
joy,When i was asked to be a child's godmother.
sadness,When I was left alone one week-end without being prepared for it.
shame,When I forgot about a meeting at work.
anger,"When my father asked me if I was a communist, at the same time he made it clear that I should no longer see myself as his daughter."
disgust,T.V features showing the violation of defenceless people.
fear,When I was nearly attackad by a man who had been chasing me.
guilt,When my husband talked about the restrictions he will have to accept in his life to make our marriage work.  I felt that it was directed at me as it was me who had demanded the changes.  We were with a marriage counsellor then.
joy,When my husband suddenly came to see me at my new job and brought some flowers and cake with him.
sadness,"When I applied for a job which I thought I had a good chance of getting, I was not even granted an interview and did not get the job."
shame,When I as a child of 9 or 10 I was playing doctor with the neighbours boys their mother caught us.
anger,When my boss enrolled in a course to satisfy his own ends - to trample on his associates.  I have the misfortune to have one of my superiors in my course.
disgust,Spit and vomit.
fear,Vertigo - standing on a ladder and painting the house.
guilt,Not speaking to my sister-in-law due to lack of interest in a relationship on my side.
joy,When we were able to afford a new sofa - a leather one which cost SEK 20000.  I had waited for it for 2-3 years.
sadness,When I argue with my mother about the way she treats her two children differently.
shame,Spots on the seat covers of my husband's car.
anger,"When my friend, as usual, forgot the tickets at home for a performance.  We missed it."
disgust,"A study visit to a chicken factory : the butchery, the smell, the environment and the noise."
fear,I was within a hair's breadth of knocking down a drunkard who suddenly ran into the street.  The fear came later when I     realized what could have happened.
joy,"When I recently managed to get my first consulting assignment ""myself"" i.e on my own initiative."
sadness,"The elections of 1982 and 1985.  The thought of what a social democrat and communist majority could achieve, especially ""worker share"" funds and its extension."
shame,Confession to my parents about my involvement in a moped theft.
anger,"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it (it had been mended ten times)."
disgust,When programmes on violence or pornography are shown on T.V.
fear,I was alone in a cottage I often stay in.  I was woken up by a rustling sound in the middle of the night.
guilt,When I decided to take a week s holiday without consulting the family first.
joy,When I was appointed to position of trust in a group set up to change the working environment.
sadness,When the result of a project work was treated nonchalantly intead of being criticized by the teacher.
shame,When I talked maliciously about a colleague at work to someone else.  Immediately afterwards I felt ashamed.
anger,When I read about Reagan's tactical decision concerning the South African boycott.
disgust,A film were a woman was attacked and raped.  One did not see the worst but it had the desired effect - very strong.
fear,When we could not land our plane and we knew that the fuel was running out.  Bad weather had already frightened us.
guilt,I had promised to visit my girlfriend but for different reasons could not make it.  I rang up later to tell her that I could not come.
joy,After my girl and I talked things over our relationship changed and became positive.  A diificult time turned into pleasant one.
sadness,When my half brother became seriously ill with cancer and died later.
shame,I made a comment and it was interpreted completely differently from what I had meant.  When I said it I realized how my mother had understood it.
anger,Some noisy guests arrived at the hotel.  I had been slightly irritated earlier.  At night when I was trying to sleep they were having a party so I went and yelled at them.  I wanted to sleep as I had to get up early the next day.
disgust,When my cat vomited and a worm came out which was still alive.  I was forced to wipe it up.
fear,I had the window open and the door was shut so that the kitten would not go out.  My partner came in and started talking about something and I forgot about the window and suddenly I saw the kitten hanging from the window frame. I was rigid with fright till I got hold of her.
guilt,When I stole money from my mother and she asked me later if I was responsible.  I never admitted it.
joy,"When I was offered a high position of trust, which I later accepted."
sadness,When I was told that I had not been successful in getting the job I had been expecting.  I was sure that I was sufficiently qualified.
shame,When I was a child it was found out that I had taken off my clothes outdoors.  It was summer and my friend and I were out in the woods.  It had felt exciting at that time.  My parents discovered that my trousers were back to front and I felt ashamed.
anger,"Recently when my sister, who is four years younger than me and very spoiled, shouted at my mother for no apparent reason .  The heart-broken expression on my mother's face made me feel very angry."
disgust,"Disgust is a feeling that I have never experienced with peoplie but , on the other hand, it has been with repulsive animals, i;e snakes on T.V."
fear,"When my relationship with my family is very poor I often fear being excluded from the group, a fear which is stronger in situations when an argument is on hand."
guilt,"When ,due to hunger and tiredness, I became generally irritated with my fiancee and made cutting remarks which really hurt him.  Later I realized that my unfounded irritation had hurt the person I love most on earth."
sadness,"When I watched the T.V programme called ""The living planet"" and saw the far reaching environmental destruction caused by man."
shame,"When relatives have acted strangely, and unfriendly towards me."
anger,On the way home from Marstrand I was driving behind my father's car.  Another car tried to push in front of my father and he was forced to swerve and he thus collided the car with a pillar.  The other car drove off without even seeing what had happened.
disgust,At the police centre a man between 40-50 was brought in.  He was very drunk and in all likelihood had not slept indoors for a long time and had relieved himself in his trousers.
fear,"A rainy day, I was cycling downhill and a car door suddenly opened and while trying to avoid it the back wheels of my bike got caught in the tram tracks.  I somersaulted but had no injuries."
guilt,I was 4-5 years old when I hid the bicycle keys of a not very good friend.  After a few hours I pretended that I had found it.
joy,"On a boat trip to Denmark, 14 of us had a lot of fun and we spent SEK 10 each on one armed bandits and against all odds we won the jackpot of SEK 1000."
sadness,My girlfriend who had spent 6 months abroad broke off our relationship by letter.
shame,A customer at the shop where I worked came in and asked if the goods that he had ordered had arrived.  I had totally forgotten about this order and I tried to offer weak excuses.
anger,In a course I thought that I deserved good marks but I only got ordinary marks with no justification as to why I was given these marks.
disgust,"I had some sort of a stomach virus last week and  I vomited in college in the morning, then in the cake shop, three times during the trip home and again when I got home."
fear,Last Summer I was walking along the beach in a bikini and an awful man came cycling after me.  He was shouting and I ran as fast as my legs could carry me.
guilt,Many years ago a friend wanted me to with her to southern Europe and I preferred to travel alone.  I felt guilty because I wanted to go on my own.
joy,When I was at the end-of-term party last week and had fun - was happy and sang and drank only soft drinks.  It is possible to have a good time without alcohol.
sadness,When I crashed my car and it had to be scrapped then.  It was my fault and I feel depressed as I miss the car.
shame,When I was an evening school teacher it was my job to make the coffee but I was not able to get the coffee ready on time and I thus arrived half an hour late to the class.  On top of this the coffee was undrinkable.
anger,"When it became clear that a man had used many people sexually and psychologically, despite the fact that many people looked up to him.  I understood that one could not trust him and I was forced to hide this for a while."
disgust,When I think now about the way my father behaved when filing a divorce.
fear,When I was convinced that someonne had broken into my flat and I woke up and heard sounds that frightened me.
guilt,"When as a 7 year old, I stole money from my mother."
joy,When I felt that my love was returned.
sadness,When I feel helpless after having tried to help someone without any result.
shame,"When as an 8 year old, I wet myself in school."
anger,When after a lot of provocation my child threw a plate on the floor.
disgust,When I tried to explain to my child as to why there were magazines wiith naked girls on them at the kiosk.
fear,Every time I meet a certain dog that has once bitten me.
guilt,When I was forced to decline the invitation to my mother's 70th birthday because of my work committments in another area.
joy,When I recently got a very positive answer from a clinic telling me that they would willingly assist and collect data for me for a clinical pilot study.
sadness,When I realized that I could not communicate properly with my closest friend.
shame,When I stole a packet of cigarettes from a neighbour  and the next day I owned up and returned it.
anger,"When I was forced to call the telephone company about a bill concerning a disconnected phone belonging to my landlord.  The bill was four months overdue and in the meanwhile he had been using my phone, he seemed to have no intention of having his own phone reconnected."
disgust,When I saw a T.V programme on animals in the film world (mistreated and used).
fear,"A late Saturday night I found myself locked in the central underground station of Stockholm with a group of 50 hard rockers who were drunk and equipped with various kinds of chains, etc."
guilt,"When I ""hated"" one of mmy flatmates who was nice to me."
joy,"When I began dansing, the teacher came and told me that I was very good and would soon get into the ballet academy."
sadness,Whenever I read or think about the way people treat animals and nature.
shame,When I was 13 years old I wrote passionate love letters to my boyfriend and I later found out that his sister had read them.
disgust,When I read racist slogans on the walls.
fear,A four year girl ran away from her father straight in front of my car.  I was forced to use the emergency brakes.
guilt,Not doing something I had promised.
joy,When my 6 month old son is happy and well.
sadness,When a colleague failed to contact me at the arranged time.
shame,About Sweden's arms exports.
anger,Jealous of my husband's old girlfriend.  We met her with her husband and there was a lot of reminiscing.
disgust,"When I was an auxiliary nurse at the hospital and I had to change the nappies, for the first time, of a very old and sick woman."
fear,When my husband and I spent a night by ourselves in a house which was in an area on the outskirts of a large town with which we were  not familiar.  We  heard strange noises outside the house and the  house had glass walls so the whole thing was even more frightening.
guilt,When my middle child became very difficult to handle after the birth of his baby brother and I did not have any patience with him.
joy,When I gave birth to a healthy boy.
sadness,When my daughter had problems with her friends and I could see her predicament from the window.  She was given a the cold shoulder.
shame,When friends found out that I had been lying about where I had been on a particular occasion.
anger,Exchange of points of view with my sister on a family matter.
disgust,"When I woke up one morning and went to the kitchen I discovered that our dog had diarrhoea.  There were small ""piles"" all over the floor and the smell was choking."
fear,Before a hospital visit prior to a D&C under anasthesia for an expected miscarriage.
guilt,At work a boy was injured because of my lack of supervision.
joy,When my husband and I decided to take a few days holiday after a particularly trying period.
sadness,Treatment to become pregnant with a negative result.
shame,"When I was young, about 6 or 7, I did not make it to the toilet on time.  I hid the dirty trousers in the cellar as I feared itbeing discovered by my parents."
anger,"At a cash desk where I had gone to buy 16 rolls of kitchen paper at a reduced price.  After queuing with screaming children; it turned out that I had taken two 8 roll packets instead of the one 16 roll packet to which the rebate applied.  The assistant said ""You will have to get it another time."""
disgust,The lift of Stockholm central station stank of vomit and urine.
fear,During labour when the foetal sounds became faint and there was a big alert for a forceps delivery.
guilt,I get irritated with my son when he screams or is sick all over his clean clothes.
joy,When I gave birth to a child and saw that it was normal when it was put against my breast.
sadness,When I first heard that Tage Dannielsson had died.
shame,On the train a drunk person touched my baby and I reacted very disapprovingly.  I felt ashamed later as the person had not been aggressive though he could have been.
anger,An unjust refree decision at a sports event when I was the team leader.
disgust,I was dominated by a certain person and even though I knew it I could not change my own reactions.
fear,"A gang of screaming and drunk youths ""captured"" a tram."
guilt,When I splashed a child by not slowing down while driving through a puddle of water.
joy,The high school entrance exam.
sadness,When my girlfriend left me.
shame,When I was given detention at secondary school.
anger,A drummer who had borrowed my drums destroyed both the drumskin and the sticks.  He did not repair them nor did he tell me about it.
disgust,A friend unjustly put the blame on me to relieve his conscience and also spread lies for the same purpose.
fear,I was teaching someone to drive and when we were about to crash I was scared.
guilt,When I was face to face with my deceived friend after sleeping with his wife.
joy,"Yesterday, when the final whistle blew at the final match between OIS and IFK and it was certain that OIS had won the Swedish title."
sadness,When my dad gives priority to my kid brother's band and his other activities.  We both play in different bands and rehearse in my parents garage.
shame,"My behaviour at a recent party.  I passed out early, luckily."
anger,When I told off a computer teacher who did not want to teach me beacause of prejudice.
disgust,When I discovered that the house we had hired in Tonga was full of cockroaches.
fear,"When I missed crashing, by a hair's breadth, into a man who came out 20 metres ahead of me when I was driving at 110km/h."
guilt,When I pulled a chair from under someone at kindergarten and he hit his head.
